CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600133,693,France,Female,68,0,0.0,2,1,1,64233.15,0
15600134,465,Germany,Male,72,9,173521.46,3,0,1,72343.98,0
15600135,485,France,Female,56,5,99608.32,2,1,0,123378.83,0
15600136,626,Spain,Male,53,0,83046.14,1,0,0,19025.35,0
15600137,826,Spain,Female,51,5,0.0,1,0,1,90197.72,1
15600138,648,France,Male,44,6,0.0,2,0,0,42540.14,0
15600139,370,Germany,Male,24,1,72559.74,2,1,0,92299.48,0
15600140,736,Germany,Male,20,8,108161.23,1,1,1,102256.83,0
15600141,380,France,Female,64,7,0.0,1,1,1,19609.05,0
15600142,596,France,Male,50,8,86508.75,3,1,1,24107.73,0
15600143,760,France,Male,19,9,0.0,2,0,1,26505.29,0
15600144,843,France,Female,59,3,102104.66,1,1,0,130057.46,0
15600145,376,France,Male,33,3,0.0,4,1,1,140100.07,0
15600146,422,Spain,Male,42,7,84787.32,2,1,0,74092.56,0
15600147,790,Spain,Male,32,0,0.0,1,0,1,133097.5,0
15600148,446,France,Male,41,7,0.0,1,0,1,79288.37,0
15600149,510,France,Female,32,6,90418.31,2,1,1,69152.05,0
15600150,695,Germany,Female,48,6,90249.66,1,0,0,86718.07,1
15600151,825,France,Female,31,8,116522.57,2,0,0,121675.06,0
15600152,649,France,Male,71,9,0.0,2,1,0,45208.39,0
15600153,648,France,Male,31,6,111038.0,1,0,0,55733.8,0
15600154,636,Germany,Male,23,1,146403.89,2,0,0,129598.05,0
15600155,722,France,Female,31,0,119589.11,2,1,1,138656.82,0
15600156,798,Spain,Female,34,0,0.0,1,1,0,31606.33,0
15600157,561,Germany,Male,35,6,197249.85,2,1,1,110166.22,0
15600158,425,France,Male,37,4,92610.88,2,1,0,16298.73,0
15600159,750,Spain,Female,68,3,96478.17,2,0,1,48235.27,0
15600160,492,France,Male,34,4,94353.03,1,1,0,24264.76,0
15600161,383,Spain,Female,33,9,0.0,2,0,1,84577.85,0
15600162,847,Spain,Female,57,9,107728.9,1,0,1,61356.8,0
15600163,685,Spain,Male,56,5,103565.81,1,0,0,33574.31,0
15600164,353,France,Female,69,9,92227.68,1,0,1,15043.31,0
15600165,677,Germany,Male,49,5,129018.79,2,1,1,67432.27,1
15600166,447,France,Female,61,0,0.0,1,0,1,54753.68,0
15600167,715,France,Female,26,1,0.0,1,0,0,21303.0,0
15600168,566,France,Female,44,2,0.0,1,1,1,129988.8,0
15600169,812,Spain,Male,63,3,94290.38,2,0,1,70455.01,0
15600170,377,Spain,Female,69,5,81948.9,1,0,1,119595.9,0
15600171,550,France,Male,50,10,0.0,2,1,1,71975.68,0
15600172,735,Spain,Female,27,8,113448.32,1,1,0,24114.57,0
15600173,622,France,Female,34,1,87214.65,2,0,1,68225.52,0
15600174,663,Spain,Female,66,7,0.0,2,0,1,134627.88,0
15600175,476,France,Male,66,8,98874.04,1,1,0,16049.27,0
15600176,551,Spain,Male,53,1,94824.12,1,1,0,135865.96,0
15600177,358,France,Female,34,8,0.0,1,0,1,103658.25,0
15600178,636,Germany,Male,35,6,87300.12,2,0,0,149410.54,1
15600179,799,France,Male,69,8,0.0,1,0,1,138675.88,0
15600180,437,France,Female,40,5,107482.33,2,0,1,132308.57,0
15600181,667,France,Male,51,1,0.0,1,0,0,20063.82,0
15600182,368,Germany,Female,25,7,57311.73,1,1,1,52833.47,0
15600183,430,Germany,Male,30,9,168861.8,2,0,1,65590.41,0
15600184,456,France,Male,40,8,115417.74,1,1,0,109476.05,1
15600185,846,Spain,Male,74,7,115069.7,2,1,1,102566.51,1
15600186,807,Germany,Male,71,1,159375.01,3,0,0,38178.94,1
15600187,847,Spain,Female,37,7,0.0,1,1,0,114472.83,0
15600188,660,Spain,Male,39,2,0.0,2,1,1,36009.78,0
15600189,761,France,Female,64,2,0.0,1,0,0,76618.48,0
15600190,579,France,Female,69,8,113706.57,2,0,1,93129.83,0
15600191,461,Germany,Male,40,8,100331.84,1,1,1,132542.12,0
15600192,569,Germany,Male,58,8,119973.64,2,0,0,100228.47,1
15600193,472,Spain,Male,52,3,112368.65,1,1,0,143903.9,0
15600194,847,France,Female,20,6,0.0,2,0,0,149256.64,0
15600195,593,France,Male,51,7,98449.36,2,1,1,83691.03,0
15600196,527,Spain,Male,50,4,0.0,1,0,1,21949.77,0
15600197,414,Germany,Female,63,0,162949.92,1,1,1,18823.05,0
15600198,729,Germany,Female,34,8,160193.13,2,0,1,130512.5,0
15600199,352,Germany,Female,62,5,52969.81,1,1,0,82479.77,0
15600200,556,Spain,Female,36,2,0.0,3,1,0,64517.15,0
15600201,785,France,Male,47,2,107051.87,3,1,0,53401.57,1
15600202,743,France,Male,40,9,100366.76,2,1,1,53041.6,0
15600203,370,Germany,Male,32,0,134249.5,2,1,1,24830.68,0
15600204,642,Spain,Male,74,7,0.0,1,1,0,55904.03,1
15600205,364,France,Female,31,1,113231.85,2,1,0,102048.83,0
15600206,692,France,Male,19,0,91054.54,1,0,1,67003.34,0
15600207,555,Spain,Female,56,6,0.0,1,1,0,142955.4,0
15600208,812,France,Male,66,10,0.0,1,1,0,105203.01,0
15600209,551,France,Female,35,8,84070.19,3,1,0,131636.85,0
15600210,469,Spain,Male,23,5,117284.46,1,1,0,30411.64,0
15600211,486,Spain,Female,49,7,87599.13,2,0,1,75819.64,0
15600212,649,Spain,Female,38,7,0.0,1,1,0,20594.22,0
15600213,644,France,Male,57,8,101166.07,1,1,1,135826.82,0
15600214,738,Spain,Female,45,6,93914.69,2,1,0,34827.26,0
15600215,374,France,Male,44,8,114805.33,1,1,1,123731.9,0
15600216,661,France,Female,19,8,116028.59,1,1,1,139714.49,0
15600217,583,Spain,Male,50,10,93039.62,2,1,0,74654.92,0
15600218,470,Spain,Female,33,0,83681.11,1,1,0,67563.72,0
15600219,439,Germany,Female,56,5,128977.83,1,1,0,96015.89,1
15600220,669,Spain,Female,39,7,98975.72,1,1,0,114944.55,0
15600221,549,Spain,Male,73,9,91539.24,2,0,1,102157.34,0
15600222,819,France,Female,60,8,98138.89,2,1,0,15155.88,0
15600223,529,France,Female,64,3,110348.14,1,0,0,121101.26,0
15600224,694,France,Female,30,1,0.0,1,1,1,34897.39,0
15600225,717,France,Female,73,10,0.0,1,1,1,75706.3,0
15600226,425,Germany,Male,19,8,171732.94,1,1,0,53118.15,1
15600227,486,France,Male,31,8,0.0,2,0,0,140267.51,0
15600228,487,Germany,Female,73,7,100418.23,1,1,0,82784.61,0
15600229,845,Spain,Male,55,2,89981.51,2,0,0,85491.67,1
15600230,359,Germany,Male,58,4,184622.98,3,1,0,25279.84,0
15600231,550,Spain,Female,45,1,0.0,2,1,1,136143.74,0
15600232,667,Spain,Male,24,2,91855.09,1,1,0,47268.71,0
15600233,695,France,Female,35,0,0.0,2,1,1,70884.27,1
15600234,832,France,Male,73,3,110705.04,2,0,0,148014.77,1
15600235,568,Spain,Female,58,4,0.0,1,1,1,30375.85,1
15600236,409,France,Male,72,1,0.0,2,0,0,112001.26,0
15600237,828,France,Male,53,2,106656.77,2,1,1,50118.14,0
15600238,496,Spain,Female,58,5,111639.21,1,1,0,71671.66,0
15600239,456,France,Female,53,5,96501.03,1,1,0,71456.05,1
15600240,387,Germany,Male,61,6,193132.52,1,1,1,140851.45,0
15600241,483,Germany,Female,21,8,139717.68,1,1,0,16398.92,0
15600242,748,Germany,Male,74,3,163153.22,2,1,1,64572.55,1
15600243,570,France,Male,47,4,0.0,3,1,1,130077.16,0
15600244,652,France,Male,41,10,0.0,3,0,0,137919.15,0
15600245,778,Germany,Male,37,1,192399.17,1,1,1,57028.82,0
15600246,482,France,Male,63,5,104313.53,3,0,0,47663.88,0
15600247,683,Germany,Male,73,3,196295.18,2,1,0,77271.38,0
15600248,402,Germany,Male,48,4,180581.37,2,1,1,115688.34,1
15600249,799,Germany,Male,41,6,107442.11,3,1,1,35795.21,0
15600250,411,France,Female,24,5,86836.15,1,1,0,120903.02,0
15600251,372,France,Male,43,7,0.0,1,0,1,84210.78,0
15600252,393,Germany,Male,30,5,168967.16,1,1,0,34008.75,0
15600253,657,France,Female,71,9,109599.15,1,1,1,105687.51,0
15600254,395,France,Male,25,7,90911.08,2,1,0,99807.11,0
15600255,496,Spain,Male,72,3,0.0,1,0,0,99018.97,0
15600256,565,Germany,Female,22,6,177234.37,1,1,0,116896.19,0
15600257,689,Spain,Male,61,2,94021.35,1,0,1,39465.08,0
15600258,396,Spain,Female,30,0,0.0,3,1,1,109162.14,0
15600259,696,France,Male,46,8,0.0,1,1,0,134784.74,0
15600260,657,Spain,Female,37,8,0.0,1,1,1,86592.02,0
15600261,373,Germany,Male,31,5,98954.19,1,0,1,80614.01,0
15600262,494,France,Male,49,1,107496.63,1,1,0,122701.4,1
15600263,438,Spain,Female,67,7,0.0,2,1,1,34741.86,0
15600264,523,Germany,Male,44,9,71402.12,2,1,0,61017.99,0
15600265,413,Spain,Male,73,5,98578.42,1,1,0,130260.87,0
15600266,468,Spain,Female,42,6,0.0,2,1,0,82469.53,0
15600267,572,Spain,Male,69,0,0.0,1,0,0,128458.88,0
15600268,505,France,Male,21,2,111819.95,2,1,1,49002.19,0
15600269,527,France,Female,38,0,105883.37,2,1,1,67592.57,0
15600270,669,Germany,Female,35,9,56364.61,2,1,0,126188.51,0
15600271,761,Germany,Female,56,0,147481.4,1,1,1,37071.87,1
15600272,691,Germany,Female,32,10,152635.88,1,0,1,135794.99,0
15600273,405,Germany,Male,70,0,133038.74,1,1,1,56831.54,0
15600274,408,Spain,Male,55,3,80150.99,1,1,1,146314.08,0
15600275,738,Spain,Female,65,6,119220.1,1,1,0,126743.21,1
15600276,787,Germany,Female,69,6,153894.92,1,1,1,76504.0,0
15600277,777,Spain,Female,41,4,0.0,1,1,0,115203.03,0
15600278,775,Spain,Male,25,5,105528.63,1,1,0,89960.4,0
15600279,805,Germany,Female,45,1,81622.54,3,1,1,130188.41,0
15600280,730,Germany,Male,38,4,64898.92,2,1,1,84944.7,0
15600281,835,France,Male,33,6,113718.47,1,0,0,148379.36,0
15600282,569,France,Female,71,8,83112.99,2,1,0,33023.44,0
15600283,534,France,Male,33,5,0.0,3,0,0,106323.32,1
15600284,396,Spain,Male,52,9,95680.76,1,1,0,48163.23,0
15600285,809,France,Male,34,3,0.0,1,1,1,40815.74,0
15600286,726,France,Male,26,2,0.0,1,1,1,70113.85,0
15600287,758,Spain,Female,74,8,101251.45,2,1,0,64607.32,0
15600288,451,France,Female,52,6,103926.74,1,0,0,21255.27,0
15600289,393,Spain,Male,69,10,108413.74,2,1,1,72742.69,0
15600290,364,France,Female,46,5,100997.61,2,1,0,143508.97,0
15600291,585,France,Female,56,6,107390.93,2,1,0,78028.25,1
15600292,710,Germany,Female,35,7,92950.92,1,1,0,55745.05,1
15600293,400,France,Female,29,4,0.0,1,1,0,143125.26,0
15600294,658,France,Male,36,2,82581.24,1,0,0,83272.54,0
15600295,383,Spain,Female,65,2,0.0,1,0,0,53758.83,0
15600296,473,Germany,Male,39,1,135757.87,2,1,1,120703.58,0
15600297,842,France,Male,73,7,97710.68,2,1,1,45187.81,0
15600298,426,Spain,Female,66,0,0.0,2,1,1,48446.13,0
15600299,741,France,Female,69,7,0.0,1,1,1,58784.82,0
15600300,472,France,Male,32,2,80523.02,1,1,1,68293.74,0
15600301,554,Spain,Female,18,8,0.0,2,0,0,93688.66,0
15600302,577,Spain,Male,19,10,111281.71,3,0,1,84563.43,0
15600303,419,Spain,Male,25,1,87538.46,1,1,1,115403.66,0
15600304,579,Spain,Female,39,9,0.0,2,0,1,111818.07,0
15600305,829,Germany,Male,42,8,75360.06,1,1,0,21150.62,1
15600306,370,Spain,Male,19,5,108320.12,1,1,1,33077.09,1
15600307,457,France,Female,68,0,0.0,2,0,1,44050.91,0
15600308,713,Germany,Male,26,4,62490.63,2,0,1,95684.61,0
15600309,590,France,Male,26,9,0.0,1,1,0,135860.69,0
15600310,600,France,Female,30,8,87362.55,2,0,0,58862.39,0
15600311,484,France,Male,23,5,81459.69,2,1,1,145105.45,0
15600312,439,France,Male,47,6,0.0,2,0,0,38336.18,0
15600313,428,Germany,Male,32,3,109986.29,2,0,0,139838.87,0
15600314,789,Germany,Male,68,0,112120.27,1,1,1,123135.29,0
15600315,526,Spain,Male,70,4,0.0,1,1,0,67519.51,0
15600316,647,France,Female,32,1,0.0,2,1,0,42852.14,0
15600317,756,France,Male,67,7,93067.39,2,1,1,67824.54,1
15600318,657,France,Female,24,3,0.0,1,1,0,43854.72,0
15600319,451,France,Male,28,0,88438.3,1,0,0,90755.48,0
15600320,710,Spain,Female,57,9,0.0,2,1,1,92600.53,0
15600321,684,Spain,Female,55,6,106563.7,2,1,0,118705.56,1
15600322,461,Spain,Female,57,10,0.0,2,1,0,86261.78,0
15600323,530,France,Male,19,1,0.0,2,0,0,61594.74,0
15600324,453,Germany,Female,68,2,159332.56,1,1,0,138065.86,0
15600325,365,Spain,Male,65,8,100035.78,1,1,1,25529.81,0
15600326,445,Spain,Female,56,8,116495.15,1,0,1,124185.53,0
15600327,642,Spain,Female,27,1,0.0,2,1,0,70292.57,0
15600328,495,France,Female,61,2,104885.44,2,1,0,39448.42,0
15600329,753,France,Male,34,10,81264.09,1,0,0,31248.02,0
15600330,651,France,Female,24,8,94166.55,1,1,0,44803.2,0
15600331,351,Germany,Female,71,0,58340.98,1,1,1,31464.04,1
15600332,468,France,Female,57,1,101683.43,2,1,1,76955.63,1
15600333,692,France,Female,56,10,90313.11,1,1,0,62208.1,0
15600334,443,France,Male,21,1,90686.23,1,1,0,63139.52,0
15600335,540,France,Male,52,9,104834.43,2,1,0,36177.22,0
15600336,352,Germany,Female,68,2,62831.25,1,1,1,104065.24,0
15600337,779,Spain,Male,64,9,0.0,1,0,0,97052.61,0
15600338,836,France,Male,53,2,0.0,3,0,0,147608.67,0
15600339,460,France,Female,48,9,119448.59,2,1,1,37631.97,1
15600340,526,France,Male,42,1,0.0,1,1,1,127592.08,0
15600341,606,France,Male,58,7,0.0,2,1,0,19572.67,1
15600342,710,France,Female,30,7,0.0,2,1,0,24898.08,0
15600343,371,France,Female,35,7,97551.5,3,1,0,102486.97,0
15600344,826,France,Male,38,1,97152.93,2,1,0,69873.4,0
15600345,747,Spain,Male,65,8,89012.14,2,1,1,46117.65,1
15600346,845,Spain,Female,18,10,0.0,2,1,1,15372.13,0
15600347,569,France,Female,53,6,97686.89,1,1,1,104524.7,0
15600348,818,France,Female,67,4,0.0,2,1,0,74514.56,1
15600349,522,Spain,Male,25,6,97709.81,1,1,1,38056.28,0
15600350,573,Spain,Male,69,7,0.0,3,1,1,146250.23,0
15600351,739,Germany,Male,65,8,114780.56,3,1,0,62363.64,1
15600352,414,Spain,Female,38,1,0.0,1,1,1,55913.06,0
15600353,626,France,Male,60,5,113596.04,1,1,1,83892.42,1
15600354,598,France,Male,69,8,0.0,1,1,0,52422.91,1
15600355,609,Spain,Female,70,5,0.0,1,1,0,51822.89,0
15600356,480,France,Female,70,1,113717.0,1,1,0,145448.69,0
15600357,462,Spain,Male,38,0,0.0,2,1,0,50254.93,0
15600358,635,Germany,Male,44,2,74445.84,2,1,1,96738.02,1
15600359,636,Spain,Male,36,10,88055.71,2,0,1,20055.3,0
15600360,767,France,Male,40,4,112478.24,1,1,1,35837.15,1
15600361,560,Spain,Female,68,6,0.0,2,0,1,17980.83,0
15600362,369,France,Male,67,9,90822.31,3,0,1,87154.36,0
15600363,564,Spain,Male,68,9,112878.1,1,1,0,81366.89,0
15600364,659,Germany,Male,60,2,175283.63,1,1,1,59674.54,0
15600365,600,France,Male,52,8,0.0,1,1,0,109537.98,0
15600366,837,Germany,Male,57,9,164881.92,1,1,0,99482.28,0
15600367,731,Germany,Female,69,3,84480.3,2,1,1,96046.13,0
15600368,758,France,Male,68,9,106710.54,1,0,1,60394.85,0
15600369,620,France,Female,59,1,80319.05,2,1,0,59164.67,0
15600370,771,France,Female,65,2,113328.63,2,0,0,132915.53,0
15600371,756,France,Female,22,4,100651.5,1,0,1,88435.24,0
15600372,529,France,Female,69,2,117755.14,1,1,1,51751.62,1
15600373,543,Spain,Male,58,4,0.0,2,1,1,88334.8,0
15600374,790,France,Male,25,3,97323.49,2,1,0,51014.06,0
15600375,662,France,Male,28,10,98002.11,1,0,0,40015.37,0
15600376,428,Germany,Male,33,9,67825.61,3,0,0,53093.81,1
15600377,529,France,Female,56,2,0.0,2,0,1,99900.49,0
15600378,841,Germany,Male,64,5,90762.47,1,0,0,84638.13,0
15600379,512,France,Female,41,7,0.0,2,1,0,37207.55,0
15600380,551,France,Female,38,3,0.0,1,1,1,137568.23,0
15600381,363,Spain,Male,69,8,80795.48,1,0,1,82269.97,0
15600382,696,Spain,Female,40,5,0.0,2,0,1,122152.91,0
15600383,595,Germany,Female,66,4,72686.04,1,1,1,59642.94,1
15600384,363,Spain,Male,55,2,0.0,1,1,1,144270.52,0
15600385,448,Germany,Male,64,4,119592.08,1,0,0,116532.57,1
15600386,382,France,Female,25,4,86598.98,1,1,1,76358.43,0
15600387,785,France,Male,24,3,84645.09,1,1,0,136809.53,0
15600388,606,Germany,Male,19,5,107727.76,2,1,0,111857.97,0
15600389,383,Germany,Male,47,2,81633.55,1,1,1,73121.31,0
15600390,368,Germany,Female,30,9,162678.77,1,1,0,146508.58,0
15600391,501,France,Male,40,0,0.0,1,1,0,55303.35,0
15600392,839,France,Male,46,6,0.0,1,1,1,49637.05,0
15600393,609,Germany,Male,55,6,134216.96,1,1,1,135778.59,1
15600394,513,France,Male,54,3,115727.41,2,1,1,110495.2,0
15600395,426,Germany,Female,37,8,50713.86,2,1,0,61643.82,0
15600396,663,Germany,Female,50,1,162378.28,4,1,0,46293.32,1
15600397,765,France,Male,46,0,0.0,1,1,0,39035.17,0
15600398,486,Germany,Female,67,2,192514.81,2,1,0,57322.01,1
15600399,708,Germany,Male,32,6,155410.92,2,0,0,31947.9,0
15600400,557,France,Female,40,8,0.0,2,1,1,34622.0,0
15600401,591,Germany,Male,59,1,97977.57,1,1,1,119844.28,1
15600402,416,Spain,Male,20,5,0.0,1,1,1,23607.63,0
15600403,465,Germany,Female,54,2,185426.02,2,0,1,74303.92,0
15600404,753,France,Female,73,4,106177.51,2,1,0,69674.84,1
15600405,551,Germany,Male,46,8,171311.04,2,1,0,144625.79,1
15600406,725,France,Male,62,2,0.0,1,1,1,77848.13,0
15600407,599,France,Female,25,0,0.0,1,1,1,36715.47,0
15600408,795,Germany,Female,39,4,54234.66,3,1,1,26934.63,0
15600409,791,France,Male,70,0,82123.52,1,1,1,113879.21,0
15600410,627,France,Male,46,7,110369.91,2,1,1,34944.42,0
